word,level,meaning_en
아기,I,"baby, toddler"
아까,I,"earlier, while ago"
아내,I,wife
아뇨,I,no
아니다,I,no
아니오,I,no
아니요,I,no
아들,I,son
아랍어,I,Arabic
아래,I,"bottom, under"
아름답다,I,beautiful
아마,I,"maybe, perhaps"
아무,I,any
아버님,I,father
아버지,I,father
아빠,I,dad
아시아,I,Asia
아이,I,child
아이스크림,I,ice cream
아저씨,I,"uncle, mister"
아주,I,"very, completely"
아주머니,I,"old lady, madame, aunt"
아줌마,I,"old lady, madame, aunt"
아직,I,"yet, still"
아침,I,"morning, breakfast"
아침밥,I,breakfast
아침식사,I,breakfast
아파트,I,"apartment, mansion"
아프다,I,"painful, sick"
아프리카,I,Africa
아홉,I,9
아흔,I,90
악기,I,musical instrument
안,I,"within, not ~"
안경,I,glasses
안내하다,I,"guide, invite"
안녕하세요,I,"hi, hello"
안녕하십니까,I,hello
안다,I,"embrace, cradle"
안전하다,I,safe
앉다,I,sit
알다,I,know
알리다,I,inform
알맞다,I,"fit, appropriate"
알았습니다,I,I understood.
앞,I,"front, previous"
애,I,child
액세서리,I,accessory
야구,I,baseball
야채,I,vegetable
약,I,"about, medicine"
약간,I,"slightly, a little"
약국,I,pharmacy
약사,I,pharmacist
약속,I,"appointment, promise"
얇다,I,thin
양,I,"amount, sheep"
양말,I,socks
양복,I,suit
양식,I,"form, western style"
양파,I,onion
얘기하다,I,talk
어깨,I,shoulder
어느,I,"which, how"
어둡다,I,dark
어디,I,where
어떤,I,"which, what"
어떻게,I,how
어떻다,I,how
어떻습니까?,I,How is it?
어렵다,I,difficult
어른,I,adult
어리다,I,young
어린이,I,child
어머,I,"oh, well"
어머니,I,mother
어머님,I,mother
어서,I,"hurry, quickly"
어울리다,I,"look good on, befit"
어저께,I,yesterday
어제,I,yesterday
어젯밤,I,last night
언니,I,sister (as seen from the younger sister)
언제,I,when
언제나,I,"always, anytime"
얼굴,I,face
얼마나,I,how much
얼음,I,ice
엄마,I,mom
없다,I,"none, no, not"
없이,I,without
에어컨,I,air conditioner
엔,I,yen
엘리베이터,I,elevator
여권,I,passport
여기,I,here
여기저기,I,here and there
여덟,I,8
여동생,I,younger sister
여든,I,80
여러,I,"various, many"
여러가지,I,"several, various"
여러분,I,"everyone, ladies and gentlemen"
여름,I,summer
여보세요,I,hello
여섯,I,6
여자,I,woman
여학생,I,female student
여행,I,travel
